"name","guard_name","description"
"master","web","Mengelola Modul Master"
"master.view-any","web","Mengelola Modul Master - Melihat Daftar Master"
"master.create","web","Mengelola Modul Master - Menambah Master"
"master.update","web","Mengelola Modul Master - Kengubah Master"
"master.delete","web","Mengelola Modul Master - Menghapus Master"
"monitoring","web","Mengelola System Monitoring Pimpinan"
"monitoring.subject","web","Mengelola System Monitoring Pimpinan - Modul Subject"
"monitoring.subject.view-any","web","Mengelola System Monitoring Pimpinan - Modul Subject - Melihat Daftar Master"
"monitoring.subject.create","web","Mengelola System Monitoring Pimpinan - Modul Subject - Menambah Subject"
"monitoring.subject.update","web","Mengelola System Monitoring Pimpinan - Modul Subject - Mengubah Subject"
"monitoring.subject.delete","web","Mengelola System Monitoring Pimpinan - Modul Subject - Menghapus Subject"
"monitoring.detail-subject","web","Mengelola System Monitoring Pimpinan - Sub Modul Detail Subject"
"monitoring.detail-subject.create","web","Mengelola System Monitoring Pimpinan - Sub Modul Detail Subject - Menambah Detail Subject"
"monitoring.detail-subject.update","web","Mengelola System Monitoring Pimpinan - Sub Modul Detail Subject - Mengubah Detail Subject"
"monitoring.detail-subject.delete","web","Mengelola System Monitoring Pimpinan - Sub Modul Detail Subject - Menghapus Detail Subject"
"monitoring.action","web","Mengelola System Monitoring Pimpinan - Sub Modul Action"
"monitoring.action.create","web","Mengelola System Monitoring Pimpinan - Sub Modul Action - Menambah Action"
"monitoring.action.update","web","Mengelola System Monitoring Pimpinan - Sub Modul Action - Mengubah Action"
"monitoring.action.delete","web","Mengelola System Monitoring Pimpinan - Sub Modul Action - Menghapus Action"
"monitoring.check","web","Mengelola System Monitoring Pimpinan - Sub Modul Check"
"monitoring.check.create","web","Mengelola System Monitoring Pimpinan - Sub Modul Check - Menambah Check"
"monitoring.check.update","web","Mengelola System Monitoring Pimpinan - Sub Modul Check - Mengubah Check"
"monitoring.check.delete","web","Mengelola System Monitoring Pimpinan - Sub Modul Check - Menghapus Check"
"kearsipan","web","Mengelola Modul Kearsipan"