"nama";"alias";"keterangan"
"Kepala PPATK";"KEPALA PPATK";""
"Wakil Kepala PPATK";"Wakil Kepala PPATK";""
"Sekretariat Utama";"SETIA";""
"Deputi Bidang Strategi dan Kerja Sama";"TEGAS";""
"Deputi Bidang Pelaporan dan Pengawasan Kepatuhan";"PENGASUH";""
"Plt.Deputi Bidang Analisis dan Pemeriksaan";"ASA";""
"Pusat Pemberdayaan Kemitraan Anti Pencucian Uang dan Pencegahan Pendanaan Terorisme";"BERMITRA";""
"Inspektorat";"PEKA";""
"Pusat Teknologi Informasi";"LOGIS";""
"Pusdiklat Anti Pencucian Uang dan Pencegahan Pendanaan Terorisme";"PATIH";""
"Biro Umum";"BIRU";""
"Biro Perencanaan dan Keuangan";"BINCANG";""
"Biro Sumber Daya Manusia; Organisasi dan Tata Laksana";"BERMAKNA";""
"Direktorat Pelaporan";"REKAN";""
"Direktorat Pengawasan Kepatuhan Penyedia Jasa Keuangan";"PENJAGA";""
"Direktorat Pengawasan Kepatuhan Penyedia Barang dan/ atau Jasa Lain dan Profesi";"PATUH";""
"Direktorat Strategi dan Kerja Sama Dalam Negeri";"SALAM";""
"Direktorat Strategi dan Kerja Sama Internasional";"SERASI";""
"Direktorat Hukum dan Regulasi";"KREASI";""
"Direktorat Analisis dan Pemeriksaan I";"SIASAT";""
"Direktorat Analisis dan Pemeriksaan II";"SIDIK";""
"Direktorat Analisis dan Pemeriksaan III";"SIAGA";""
"Tenaga Ahli Bidang Pelaporan dan Pengawasan Kepatuhan";"TALI ASA";""
"Tenaga Ahli Bidang Analisis dan Pemeriksaan Transaksi Keuangan";"TALI ASIH";""